order_id,customer_id,customer_name,segment,category,sub_category,region,market,ship_mode,order_priority,quantity,sales,profit,discount,order_date,state
CA-2016-100021,CV-12805,Cynthia Voltz,Consumer,Office Supplies,Storage,West,EU,First Class,Medium,6,2789.16,-540.94,0.00,2015-09-29,Illinois
CA-2016-100022,SO-20335,Sean O'Donnell,Home Office,Furniture,Furnishings,West,APAC,Standard Class,Medium,5,415.40,-80.05,0.45,2015-09-19,Florida
CA-2016-100023,BH-11710,Brosina Hoffman,Home Office,Furniture,Chairs,Central,LATAM,First Class,Low,5,722.35,120.23,0.10,2014-07-28,New York
CA-2014-100024,CV-12805,Cynthia Voltz,Home Office,Office Supplies,Fasteners,South,LATAM,Standard Class,Low,1,6.76,0.77,0.10,2014-09-26,New York
CA-2014-100025,AA-10315,Alex Avila,Corporate,Technology,Accessories,Central,US,First Class,Medium,14,2628.64,-1455.58,0.45,2014-05-11,Washington
CA-2014-100026,BH-11710,Brosina Hoffman,Consumer,Office Supplies,Supplies,East,LATAM,Standard Class,Medium,14,2886.24,-469.99,0.45,2016-08-05,Illinois
CA-2015-100027,EH-13945,Eric Hoffmann,Consumer,Technology,Copiers,East,LATAM,First Class,High,5,419.00,20.39,0.00,2014-02-09,Washington
CA-2015-100028,PK-19075,Pete Kriz,Home Office,Furniture,Chairs,South,APAC,Standard Class,Low,7,1172.43,502.36,0.00,2014-10-13,Florida
CA-2015-100029,IM-15070,Irene Maddox,Corporate,Technology,Machines,West,LATAM,Second Class,High,1,58.66,-16.15,0.30,2016-03-16,California
CA-2014-100030,EH-13945,Eric Hoffmann,Home Office,Furniture,Chairs,Central,APAC,Same Day,High,6,1310.94,6.62,0.20,2015-11-11,Pennsylvania
CA-2014-100031,ZD-21925,Zuschuss Donatelli,Home Office,Technology,Copiers,Central,LATAM,Standard Class,High,4,852.48,-50.93,0.30,2016-07-13,Florida
CA-2016-100032,HP-14815,Harold Pawlan,Consumer,Office Supplies,Labels,West,APAC,First Class,Low,8,1789.44,57.73,0.10,2016-03-23,Washington
CA-2014-100033,ZD-21925,Zuschuss Donatelli,Corporate,Furniture,Chairs,South,EU,Same Day,Critical,3,51.27,17.41,0.10,2015-09-18,Pennsylvania
CA-2014-100034,PK-19075,Pete Kriz,Home Office,Furniture,Bookcases,South,US,Second Class,Low,13,5601.96,1714.05,0.00,2014-08-13,Ohio
CA-2016-100035,AA-10315,Alex Avila,Corporate,Office Supplies,Supplies,South,EU,Same Day,Critical,9,2697.75,-274.57,0.30,2016-01-07,Florida
CA-2015-100036,PK-19075,Pete Kriz,Consumer,Technology,Machines,Central,EU,First Class,High,13,5069.35,-469.49,0.30,2014-10-09,Illinois
CA-2015-100037,SN-20710,Stephanie Phelps,Corporate,Furniture,Chairs,Central,LATAM,Same Day,Low,3,358.41,57.05,0.10,2014-03-07,Washington
CA-2015-100038,EH-13945,Eric Hoffmann,Corporate,Office Supplies,Appliances,South,LATAM,Second Class,Critical,14,6173.02,-2486.20,0.45,2014-01-07,Washington
CA-2015-100039,AG-10270,Alejandro Grove,Consumer,Office Supplies,Storage,West,LATAM,Standard Class,Low,1,197.48,-5.78,0.30,2016-05-10,Pennsylvania
CA-2015-100040,AA-10315,Alex Avila,Corporate,Office Supplies,Binders,Central,LATAM,First Class,Low,1,133.78,-35.11,0.20,2014-12-01,Ohio
CA-2014-100041,CG-12520,Claire Gute,Consumer,Technology,Accessories,East,EU,Standard Class,Medium,6,695.94,214.21,0.00,2015-10-30,Washington
CA-2015-100042,AA-10315,Alex Avila,Consumer,Office Supplies,Art,West,EU,First Class,Low,10,4741.40,-215.01,0.30,2016-02-25,North Carolina
CA-2016-100043,CG-12520,Claire Gute,Consumer,Office Supplies,Paper,West,APAC,Standard Class,Low,7,3297.21,-826.29,0.10,2015-12-09,Illinois
CA-2015-100044,SN-20710,Stephanie Phelps,Consumer,Office Supplies,Labels,South,APAC,Same Day,Medium,2,510.90,-200.16,0.20,2015-03-07,Pennsylvania
CA-2015-100045,IM-15070,Irene Maddox,Home Office,Technology,Machines,Central,APAC,Second Class,Low,10,4050.60,-593.34,0.45,2015-04-22,Florida
CA-2015-100046,TB-21520,Tracy Blumstein,Consumer,Furniture,Tables,South,EU,First Class,High,10,3071.10,-864.03,0.30,2015-05-22,Illinois
CA-2015-100047,AG-10270,Alejandro Grove,Corporate,Technology,Machines,East,LATAM,Same Day,Critical,9,90.18,-22.04,0.10,2016-01-08,California
CA-2015-100048,SO-20335,Sean O'Donnell,Home Office,Office Supplies,Envelopes,Central,LATAM,First Class,High,7,2432.01,76.79,0.20,2015-01-13,Ohio
CA-2016-100049,AG-10270,Alejandro Grove,Home Office,Office Supplies,Fasteners,East,EU,Second Class,Critical,4,258.88,-24.57,0.10,2016-01-31,Florida
CA-2015-100050,LC-16885,Lena Creighton,Consumer,Technology,Machines,East,APAC,Standard Class,Low,2,834.30,-210.36,0.20,2014-07-03,Virginia
CA-2016-100051,ZD-21925,Zuschuss Donatelli,Corporate,Technology,Copiers,South,LATAM,Same Day,High,11,4783.79,-2072.90,0.30,2014-01-13,Texas
CA-2016-100052,DV-13045,Darrin Van Huff,Home Office,Office Supplies,Storage,West,EU,Second Class,High,2,823.90,-148.60,0.30,2015-08-14,New York
CA-2015-100053,PK-19075,Pete Kriz,Corporate,Furniture,Tables,South,APAC,Same Day,High,10,3000.80,-1510.31,0.45,2015-06-20,North Carolina
CA-2014-100054,RA-19885,Ruben Ausman,Consumer,Furniture,Bookcases,East,US,Second Class,Low,13,1402.18,-179.45,0.10,2014-03-25,Pennsylvania
CA-2015-100055,TB-21520,Tracy Blumstein,Consumer,Technology,Phones,East,APAC,Second Class,Critical,5,105.80,6.30,0.20,2015-12-21,New York
CA-2015-100056,SN-20710,Stephanie Phelps,Home Office,Furniture,Chairs,Central,LATAM,Standard Class,Critical,5,2070.90,-333.90,0.00,2016-03-22,Florida
CA-2015-100057,EB-13870,Emily Burns,Home Office,Office Supplies,Supplies,Central,APAC,Standard Class,Low,9,2244.87,423.66,0.00,2016-06-29,Washington
CA-2014-100058,LC-16885,Lena Creighton,Corporate,Technology,Accessories,South,APAC,Second Class,Critical,13,4391.14,-111.71,0.20,2016-02-21,Ohio
CA-2015-100059,SO-20335,Sean O'Donnell,Home Office,Office Supplies,Labels,South,APAC,Same Day,Low,7,1189.93,425.43,0.00,2014-12-04,Ohio
CA-2014-100060,SO-20335,Sean O'Donnell,Home Office,Office Supplies,Fasteners,South,LATAM,Standard Class,Medium,6,374.28,23.28,0.30,2016-04-24,Virginia
CA-2014-100061,SF-20065,Sandra Flanagan,Corporate,Technology,Phones,South,LATAM,Standard Class,Low,11,2461.91,-166.64,0.00,2015-07-17,North Carolina
CA-2014-100062,PK-19075,Pete Kriz,Corporate,Technology,Copiers,West,EU,Same Day,High,5,1388.35,-534.25,0.45,2014-08-19,Virginia
CA-2016-100063,AG-10270,Alejandro Grove,Home Office,Office Supplies,Storage,East,US,First Class,Critical,8,1005.20,-558.87,0.45,2014-07-15,Illinois
CA-2015-100064,GH-14410,Gary Hansen,Consumer,Office Supplies,Appliances,South,LATAM,First Class,High,5,1822.00,-497.50,0.45,2015-11-07,Virginia
CA-2015-100065,SN-20710,Stephanie Phelps,Consumer,Office Supplies,Storage,Central,LATAM,Same Day,Critical,6,2612.70,187.25,0.10,2014-08-28,Texas
CA-2015-100066,MA-17560,Matt Abelman,Consumer,Furniture,Chairs,South,US,Second Class,Critical,9,4345.65,718.36,0.20,2016-06-14,Texas
CA-2015-100067,SO-20335,Sean O'Donnell,Home Office,Office Supplies,Fasteners,South,APAC,Same Day,Low,6,1881.06,-145.98,0.30,2016-05-22,North Carolina
CA-2016-100068,SO-20335,Sean O'Donnell,Home Office,Furniture,Furnishings,West,LATAM,Second Class,High,4,1498.60,203.69,0.30,2016-02-18,California
CA-2015-100069,DV-13045,Darrin Van Huff,Home Office,Office Supplies,Appliances,East,EU,Second Class,Low,5,912.20,-369.79,0.30,2015-06-28,North Carolina
CA-2015-100070,EB-13870,Emily Burns,Corporate,Technology,Copiers,Central,US,Same Day,High,8,3654.80,-544.85,0.10,2015-10-16,Virginia
CA-2016-100071,IM-15070,Irene Maddox,Corporate,Furniture,Tables,South,APAC,Second Class,Critical,6,2963.34,45.37,0.20,2015-03-11,Ohio
CA-2014-100072,BH-11710,Brosina Hoffman,Home Office,Furniture,Tables,South,APAC,Standard Class,Low,10,1826.80,448.02,0.20,2014-10-30,North Carolina
CA-2015-100073,MA-17560,Matt Abelman,Home Office,Office Supplies,Envelopes,East,US,Standard Class,High,10,4019.60,457.44,0.10,2015-09-28,Ohio
CA-2014-100074,DV-13045,Darrin Van Huff,Consumer,Technology,Machines,East,APAC,First Class,Medium,12,840.60,-157.72,0.20,2015-03-02,Florida
CA-2014-100075,MA-17560,Matt Abelman,Home Office,Office Supplies,Labels,South,APAC,Standard Class,Critical,13,806.13,-87.47,0.00,2016-09-16,California
CA-2016-100076,AG-10270,Alejandro Grove,Corporate,Technology,Accessories,West,EU,Same Day,Low,8,1499.60,-30.05,0.20,2016-04-22,North Carolina
CA-2016-100077,SN-20710,Stephanie Phelps,Corporate,Office Supplies,Envelopes,West,EU,Standard Class,Low,11,399.19,36.37,0.30,2014-11-06,Florida
CA-2016-100078,MA-17560,Matt Abelman,Home Office,Furniture,Bookcases,South,EU,Same Day,Low,4,1776.76,-84.18,0.10,2015-01-15,Ohio
CA-2014-100079,RA-19885,Ruben Ausman,Corporate,Office Supplies,Fasteners,West,APAC,First Class,Low,1,346.69,-4.09,0.10,2016-08-31,Pennsylvania
CA-2016-100080,AG-10270,Alejandro Grove,Home Office,Furniture,Bookcases,West,US,First Class,Medium,14,5781.58,1334.39,0.00,2015-10-20,Texas
CA-2014-100081,LC-16885,Lena Creighton,Corporate,Furniture,Bookcases,East,US,First Class,Medium,14,5372.50,435.97,0.10,2016-04-12,Texas
CA-2014-100082,SN-20710,Stephanie Phelps,Home Office,Office Supplies,Binders,Central,US,Second Class,High,2,664.44,-75.96,0.00,2015-01-02,California
CA-2015-100083,AA-10315,Alex Avila,Home Office,Technology,Phones,West,LATAM,Second Class,Low,9,551.34,60.40,0.00,2016-03-07,Virginia
CA-2015-100084,ZD-21925,Zuschuss Donatelli,Home Office,Office Supplies,Appliances,South,US,Standard Class,High,1,499.30,-111.31,0.30,2014-04-21,North Carolina
CA-2015-100085,AA-10315,Alex Avila,Home Office,Furniture,Chairs,Central,LATAM,Same Day,Low,5,1570.20,-460.96,0.45,2014-11-29,New York
CA-2015-100086,CV-12805,Cynthia Voltz,Corporate,Technology,Copiers,South,US,First Class,Critical,7,1599.64,-49.62,0.10,2016-04-27,Illinois
CA-2014-100087,AG-10270,Alejandro Grove,Corporate,Office Supplies,Binders,West,APAC,Second Class,Low,11,5080.68,-714.87,0.00,2014-03-29,North Carolina
CA-2015-100088,SN-20710,Stephanie Phelps,Home Office,Technology,Machines,West,APAC,First Class,High,11,720.50,120.93,0.20,2016-08-21,New York
CA-2016-100089,LC-16885,Lena Creighton,Corporate,Technology,Copiers,West,APAC,Second Class,Critical,3,990.24,248.28,0.10,2014-12-25,Virginia
CA-2016-100090,RA-19885,Ruben Ausman,Corporate,Technology,Accessories,Central,APAC,Standard Class,Medium,10,4649.00,-1772.11,0.20,2014-10-07,Texas
CA-2014-100091,LC-16885,Lena Creighton,Corporate,Technology,Phones,South,LATAM,First Class,Medium,2,150.46,-21.12,0.00,2015-06-28,Illinois
CA-2014-100092,ZD-21925,Zuschuss Donatelli,Consumer,Technology,Machines,West,US,First Class,Critical,13,6123.00,-3641.83,0.45,2014-02-23,Pennsylvania
CA-2014-100093,MA-17560,Matt Abelman,Corporate,Technology,Phones,South,APAC,Standard Class,Medium,7,981.54,-565.39,0.45,2015-03-17,Pennsylvania
CA-2015-100094,RA-19885,Ruben Ausman,Corporate,Furniture,Bookcases,Central,US,Standard Class,Critical,4,616.80,122.61,0.10,2016-02-22,Pennsylvania
CA-2015-100095,IM-15070,Irene Maddox,Consumer,Furniture,Tables,South,US,Same Day,Low,9,3179.88,-912.08,0.45,2015-11-16,Ohio
CA-2014-100096,SO-20335,Sean O'Donnell,Corporate,Office Supplies,Paper,East,LATAM,First Class,Low,10,2051.90,-639.81,0.30,2015-02-19,Pennsylvania
CA-2016-100097,BH-11710,Brosina Hoffman,Corporate,Furniture,Tables,East,APAC,Second Class,Low,10,2032.20,116.34,0.00,2014-11-14,Virginia
CA-2015-100098,CV-12805,Cynthia Voltz,Consumer,Furniture,Chairs,East,EU,Standard Class,Medium,13,2313.22,-338.71,0.10,2014-05-30,Ohio
CA-2015-100099,TB-21520,Tracy Blumstein,Home Office,Technology,Phones,Central,EU,Same Day,Low,11,5087.06,-1180.48,0.45,2015-10-02,Ohio
CA-2015-100100,TB-21520,Tracy Blumstein,Corporate,Technology,Machines,South,US,Standard Class,High,13,1832.48,52.71,0.00,2014-03-17,Florida
CA-2016-100101,SO-20335,Sean O'Donnell,Consumer,Technology,Accessories,South,EU,First Class,Critical,10,2990.70,-595.86,0.30,2015-07-22,Virginia
CA-2016-100102,AA-10315,Alex Avila,Home Office,Furniture,Tables,East,US,Second Class,Critical,2,812.86,193.91,0.20,2014-03-28,Ohio
CA-2015-100103,GH-14410,Gary Hansen,Home Office,Technology,Copiers,West,APAC,Standard Class,High,6,1137.36,-168.53,0.20,2016-03-04,New York
CA-2014-100104,SN-20710,Stephanie Phelps,Home Office,Technology,Phones,East,APAC,First Class,Critical,5,648.70,-53.43,0.45,2014-12-08,Texas
CA-2016-100105,RA-19885,Ruben Ausman,Home Office,Technology,Accessories,West,LATAM,First Class,Low,5,1408.35,181.07,0.20,2015-11-18,Illinois
CA-2014-100106,ZD-21925,Zuschuss Donatelli,Consumer,Furniture,Chairs,Central,US,Standard Class,High,6,2844.60,-1067.28,0.30,2014-05-21,North Carolina
CA-2016-100107,AA-10315,Alex Avila,Corporate,Technology,Phones,West,LATAM,First Class,Medium,3,255.93,-31.77,0.45,2014-06-19,Ohio
CA-2015-100108,RA-19885,Ruben Ausman,Consumer,Office Supplies,Storage,Central,LATAM,Same Day,High,4,1077.36,245.25,0.20,2016-03-14,Pennsylvania
CA-2014-100109,GH-14410,Gary Hansen,Home Office,Technology,Phones,South,APAC,Standard Class,Low,3,1228.08,-687.78,0.45,2014-09-14,Florida
CA-2014-100110,SO-20335,Sean O'Donnell,Corporate,Furniture,Furnishings,Central,US,Same Day,Low,8,3625.04,870.66,0.10,2014-04-04,Pennsylvania
CA-2014-100111,GH-14410,Gary Hansen,Home Office,Office Supplies,Envelopes,Central,EU,Second Class,Low,7,3481.03,-884.35,0.20,2014-11-23,Florida
CA-2014-100112,MA-17560,Matt Abelman,Consumer,Technology,Copiers,Central,EU,Second Class,Critical,13,4605.12,-460.62,0.30,2016-07-16,New York
CA-2015-100113,ZD-21925,Zuschuss Donatelli,Consumer,Furniture,Furnishings,West,LATAM,Standard Class,Medium,2,57.28,-4.85,0.30,2015-09-30,Texas
CA-2016-100114,ZD-21925,Zuschuss Donatelli,Consumer,Office Supplies,Appliances,Central,US,Standard Class,Critical,10,1796.40,-681.25,0.45,2015-11-12,Ohio
CA-2015-100115,DV-13045,Darrin Van Huff,Consumer,Technology,Phones,West,APAC,Second Class,Low,6,783.36,25.15,0.00,2014-03-11,Illinois
CA-2016-100116,SN-20710,Stephanie Phelps,Consumer,Office Supplies,Binders,East,US,Same Day,Low,14,5469.52,752.24,0.30,2015-05-06,Florida
CA-2016-100117,HP-14815,Harold Pawlan,Corporate,Furniture,Chairs,Central,US,Second Class,High,1,161.22,-10.48,0.20,2016-04-14,Illinois
CA-2016-100118,DV-13045,Darrin Van Huff,Corporate,Technology,Machines,South,APAC,Second Class,Critical,5,333.10,-38.63,0.20,2015-02-14,Ohio
CA-2014-100119,SF-20065,Sandra Flanagan,Home Office,Technology,Machines,Central,APAC,Standard Class,Low,13,596.57,-267.68,0.30,2015-09-09,Illinois
CA-2015-100120,ZD-21925,Zuschuss Donatelli,Consumer,Office Supplies,Storage,Central,LATAM,First Class,Low,10,3602.40,534.41,0.10,2014-12-26,New York
CA-2016-100121,CV-12805,Cynthia Voltz,Home Office,Office Supplies,Labels,South,US,Second Class,Low,9,3613.86,1153.95,0.10,2014-05-27,Washington
CA-2015-100122,CV-12805,Cynthia Voltz,Corporate,Office Supplies,Labels,Central,LATAM,Standard Class,Medium,7,3324.93,642.75,0.00,2015-11-27,Virginia
CA-2015-100123,SF-20065,Sandra Flanagan,Home Office,Office Supplies,Labels,South,US,First Class,High,11,1572.45,-288.00,0.00,2014-07-10,Ohio
CA-2014-100124,HP-14815,Harold Pawlan,Corporate,Technology,Machines,East,LATAM,Standard Class,High,12,5503.92,-2035.81,0.30,2014-05-19,Illinois
CA-2014-100125,SO-20335,Sean O'Donnell,Consumer,Technology,Machines,East,EU,Second Class,Critical,5,2132.10,460.33,0.10,2015-06-05,California
CA-2014-100126,SF-20065,Sandra Flanagan,Consumer,Technology,Machines,Central,LATAM,Same Day,Critical,8,3222.48,-1822.79,0.45,2016-06-24,Pennsylvania
CA-2015-100127,LC-16885,Lena Creighton,Consumer,Furniture,Chairs,East,EU,Same Day,Low,6,1937.76,-382.14,0.30,2015-06-14,New York
CA-2016-100128,GH-14410,Gary Hansen,Corporate,Furniture,Furnishings,West,APAC,Second Class,High,3,255.51,-19.18,0.10,2016-08-21,Texas
CA-2014-100129,CV-12805,Cynthia Voltz,Consumer,Office Supplies,Supplies,Central,US,Standard Class,Low,2,507.54,42.98,0.10,2015-08-18,California
CA-2014-100130,CV-12805,Cynthia Voltz,Corporate,Technology,Machines,Central,APAC,Same Day,Medium,11,1202.85,-456.14,0.45,2015-10-17,Pennsylvania
CA-2014-100131,ZD-21925,Zuschuss Donatelli,Corporate,Office Supplies,Art,East,APAC,First Class,High,12,415.92,-95.60,0.30,2015-04-21,Pennsylvania
CA-2015-100132,AA-10315,Alex Avila,Consumer,Office Supplies,Supplies,East,US,Standard Class,High,9,518.04,1.66,0.10,2014-10-01,Pennsylvania
CA-2015-100133,RA-19885,Ruben Ausman,Consumer,Office Supplies,Envelopes,East,LATAM,Same Day,Critical,14,6322.96,1308.46,0.20,2016-01-09,Florida
CA-2014-100134,MA-17560,Matt Abelman,Consumer,Furniture,Bookcases,Central,LATAM,Same Day,High,7,1786.40,-286.10,0.10,2014-12-28,Virginia
CA-2014-100135,CG-12520,Claire Gute,Corporate,Furniture,Tables,West,EU,First Class,High,3,1325.46,127.92,0.20,2015-01-10,New York
CA-2014-100136,EB-13870,Emily Burns,Consumer,Technology,Phones,South,APAC,First Class,High,13,3603.34,-748.56,0.45,2014-05-02,Texas
CA-2015-100137,HP-14815,Harold Pawlan,Home Office,Technology,Phones,South,EU,Second Class,High,9,224.37,-24.89,0.00,2014-12-08,North Carolina
CA-2016-100138,KB-16585,Ken Black,Home Office,Furniture,Tables,South,APAC,Same Day,Low,10,3709.60,-52.23,0.20,2015-06-04,Illinois
CA-2016-100139,KB-16585,Ken Black,Home Office,Technology,Accessories,East,US,Same Day,Medium,7,2057.51,386.79,0.00,2014-09-29,Virginia
CA-2016-100140,CV-12805,Cynthia Voltz,Consumer,Technology,Phones,East,US,Same Day,High,3,1235.16,-345.20,0.10,2016-08-28,Pennsylvania
CA-2016-100141,AA-10315,Alex Avila,Home Office,Office Supplies,Envelopes,West,EU,Second Class,High,7,1773.80,-91.64,0.45,2016-06-12,Ohio
CA-2016-100142,GH-14410,Gary Hansen,Home Office,Office Supplies,Labels,Central,LATAM,Second Class,Medium,3,697.59,-298.21,0.45,2014-12-29,Florida
CA-2015-100143,SN-20710,Stephanie Phelps,Corporate,Office Supplies,Envelopes,Central,APAC,First Class,Low,5,1933.65,287.45,0.10,2015-05-16,North Carolina
CA-2016-100144,SN-20710,Stephanie Phelps,Consumer,Office Supplies,Paper,Central,LATAM,First Class,Critical,14,2461.76,-273.76,0.10,2014-10-22,Washington
CA-2016-100145,HP-14815,Harold Pawlan,Consumer,Technology,Machines,East,US,Second Class,Medium,9,3146.40,-720.53,0.10,2016-01-29,California
CA-2014-100146,BH-11710,Brosina Hoffman,Corporate,Office Supplies,Labels,South,LATAM,Second Class,High,12,2866.08,-850.17,0.10,2015-07-18,Illinois
CA-2016-100147,ZD-21925,Zuschuss Donatelli,Consumer,Technology,Accessories,East,LATAM,Second Class,Low,13,640.64,-319.72,0.45,2016-01-27,Pennsylvania
CA-2015-100148,MA-17560,Matt Abelman,Corporate,Furniture,Furnishings,South,LATAM,Second Class,Critical,1,9.59,-2.48,0.45,2016-08-08,Florida
CA-2016-100149,HP-14815,Harold Pawlan,Corporate,Furniture,Furnishings,Central,EU,Second Class,Critical,3,1100.70,73.84,0.20,2014-01-15,Pennsylvania
CA-2015-100150,GH-14410,Gary Hansen,Consumer,Office Supplies,Art,West,APAC,Same Day,Medium,7,2353.96,795.86,0.10,2015-05-04,Ohio
CA-2016-100151,AG-10270,Alejandro Grove,Consumer,Office Supplies,Fasteners,West,US,Same Day,High,10,3628.30,-108.81,0.00,2015-01-04,Texas
CA-2014-100152,EB-13870,Emily Burns,Consumer,Technology,Machines,South,EU,Same Day,High,12,757.44,-122.02,0.20,2014-08-15,Pennsylvania
CA-2016-100153,SN-20710,Stephanie Phelps,Consumer,Office Supplies,Supplies,South,APAC,Standard Class,Low,13,4338.49,846.91,0.10,2015-11-28,California
CA-2015-100154,SN-20710,Stephanie Phelps,Consumer,Technology,Copiers,East,LATAM,Standard Class,Critical,10,2706.50,-234.72,0.10,2015-06-17,California
CA-2015-100155,TB-21520,Tracy Blumstein,Home Office,Furniture,Tables,West,LATAM,First Class,Low,8,2273.12,-794.35,0.45,2016-04-06,Washington
CA-2014-100156,LC-16885,Lena Creighton,Corporate,Furniture,Bookcases,West,APAC,Same Day,Medium,7,1228.78,186.48,0.00,2014-03-03,Texas
CA-2015-100157,CV-12805,Cynthia Voltz,Corporate,Technology,Phones,West,EU,First Class,Low,6,2978.76,-620.93,0.30,2016-07-28,Texas
CA-2014-100158,SN-20710,Stephanie Phelps,Corporate,Office Supplies,Supplies,South,LATAM,Same Day,Medium,3,1095.87,265.90,0.10,2016-02-14,Washington
CA-2015-100159,TB-21520,Tracy Blumstein,Home Office,Office Supplies,Binders,West,EU,Second Class,Low,5,491.50,-88.01,0.00,2015-11-08,New York
CA-2015-100160,RA-19885,Ruben Ausman,Corporate,Furniture,Tables,East,EU,Standard Class,Medium,10,3376.50,-138.18,0.00,2014-02-15,Virginia
CA-2014-100161,ZD-21925,Zuschuss Donatelli,Home Office,Furniture,Furnishings,East,LATAM,First Class,High,10,3009.70,-740.42,0.20,2016-06-16,California
CA-2015-100162,SN-20710,Stephanie Phelps,Home Office,Technology,Copiers,South,APAC,Same Day,Critical,11,3750.78,-1229.68,0.45,2016-09-22,Texas
CA-2016-100163,ZD-21925,Zuschuss Donatelli,Consumer,Office Supplies,Binders,South,US,Same Day,Critical,13,3526.51,888.93,0.10,2014-11-04,Virginia
CA-2015-100164,GH-14410,Gary Hansen,Corporate,Furniture,Tables,West,EU,Standard Class,High,4,524.88,10.69,0.20,2016-08-02,Pennsylvania
CA-2014-100165,RA-19885,Ruben Ausman,Corporate,Technology,Accessories,East,APAC,First Class,Low,14,574.42,-102.94,0.45,2015-07-27,Washington
CA-2016-100166,HP-14815,Harold Pawlan,Home Office,Technology,Accessories,East,LATAM,Second Class,High,12,5997.48,566.08,0.30,2015-12-14,Florida
CA-2015-100167,EB-13870,Emily Burns,Corporate,Office Supplies,Supplies,West,LATAM,First Class,Medium,11,2011.13,-334.31,0.20,2016-06-22,Illinois
CA-2016-100168,KB-16585,Ken Black,Home Office,Office Supplies,Appliances,South,APAC,Second Class,Medium,10,4327.20,-1252.54,0.10,2015-07-21,Illinois
CA-2015-100169,PK-19075,Pete Kriz,Home Office,Office Supplies,Envelopes,South,LATAM,Second Class,High,8,2220.56,-516.81,0.20,2016-04-21,Texas
CA-2014-100170,AA-10315,Alex Avila,Home Office,Technology,Phones,West,US,Standard Class,Low,3,1376.61,-8.66,0.45,2016-09-07,Pennsylvania
CA-2015-100171,AA-10315,Alex Avila,Consumer,Technology,Copiers,South,LATAM,Standard Class,Low,2,710.10,-41.07,0.00,2015-04-12,Virginia
CA-2014-100172,SN-20710,Stephanie Phelps,Home Office,Office Supplies,Appliances,South,EU,Standard Class,Low,1,267.06,-13.83,0.20,2014-10-21,Virginia
